ucp-proxy
2018-06-22T15:27:20.931383289Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.947858716Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:20.947876343Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-22T15:27:20Z"}
2018-06-22T15:27:31.347778168Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.347810539Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.348049790Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.348066201Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.362525427Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.946981041Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.958156238Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.958181635Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.958833461Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:32.006835262Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:32.121252545Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:32Z"}
2018-06-22T15:27:41.987986329Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-22T15:27:41.988003093Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-22T15:27:41.988008427Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:41Z"}
2018-06-22T15:27:42.324309945Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.960767297Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.961776458Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.962605203Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:49.782412320Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:49Z"}
2018-06-22T15:27:52.727030295Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:52Z"}
2018-06-22T15:27:52.989379315Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:52Z"}
2018-06-22T15:27:52.989534028Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:52Z"}
2018-06-22T15:27:53.961759424Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.961948170Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.963114079Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-28T16:42:14.460057854Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.460088937Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.476893798Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.594146324Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.594173864Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.594179826Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.594184849Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
