ucp-proxy
2018-06-28T16:42:36.575585309Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.576628955Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.576645645Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.577666338Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:37.291514253Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:37Z"}
2018-06-28T16:42:47.319703267Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:47.576511501Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:47.576527752Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:47.577165111Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:47.577181748Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:47.578170691Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:47Z"}
2018-06-28T16:42:57.287517892Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:57Z"}
2018-06-28T16:42:58.577537445Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:58Z"}
2018-06-28T16:42:58.577555633Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:58Z"}
2018-06-28T16:42:58.578034359Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:58Z"}
2018-06-28T16:42:58.578567837Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:58Z"}
2018-06-28T16:42:58.579086303Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:58Z"}
2018-06-28T16:43:09.578412409Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:09Z"}
2018-06-28T16:43:09.578433622Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:09Z"}
2018-06-28T16:43:09.578916259Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:09Z"}
2018-06-28T16:43:09.578930197Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:09Z"}
2018-06-28T16:43:09.580058596Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:09Z"}
2018-06-28T16:43:17.285427790Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:17Z"}
2018-06-28T16:43:20.579225202Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:20Z"}
2018-06-28T16:43:20.579892566Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:20Z"}
2018-06-28T16:43:20.579906665Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:20Z"}
2018-06-28T16:43:20.580801034Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:20Z"}
2018-06-28T16:43:20.605247708Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:20Z"}
2018-06-28T16:43:27.285755829Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:27Z"}
2018-06-28T16:43:31.579974550Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:31Z"}
2018-06-28T16:43:31.579989834Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:31Z"}
2018-06-28T16:43:31.580608868Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:31Z"}
2018-06-28T16:43:31.580626150Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:31Z"}
2018-06-28T16:43:31.581431915Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:31Z"}
2018-06-28T16:43:37.286075005Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:37Z"}
2018-06-28T16:43:38.547342605Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:38Z"}
2018-06-28T16:43:38.547602613Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:38Z"}
2018-06-28T16:43:42.580724607Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:42Z"}
2018-06-28T16:43:42.580754014Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:42Z"}
2018-06-28T16:43:42.581346372Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:42Z"}
2018-06-28T16:43:42.581362667Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:42Z"}
2018-06-28T16:43:42.582571799Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:43:42Z"}
2018-06-28T16:56:41.552389411Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.552411786Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
2018-06-28T16:56:41.575041648Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:56:41Z"}
