ucp-proxy
2018-06-22T15:27:10.606178951Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:10Z"}
2018-06-22T15:27:21.081584032Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:21.164288668Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:21.174326290Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:21.448487607Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:21.770313625Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:21Z"}
2018-06-22T15:27:22.022563612Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.022590286Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.052692406Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.324964694Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.525311807Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.712011776Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:22.873654031Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:22Z"}
2018-06-22T15:27:28.148480214Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:28Z"}
2018-06-22T15:27:29.270978647Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.270999033Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.271003937Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.280917723Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.280931298Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.280936043Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.280940916Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:29.280946985Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:29Z"}
2018-06-22T15:27:30.982862228Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:30Z"}
2018-06-22T15:27:30.984977256Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:30Z"}
