ucp-kube-apiserver
2018-06-22T15:27:22.606900424Z I0622 15:27:22.602317       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606906513Z I0622 15:27:22.603037       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606915646Z I0622 15:27:22.603784       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606921531Z I0622 15:27:22.604583       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606926819Z I0622 15:27:22.605421       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606932291Z I0622 15:27:22.606178       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.606937900Z I0622 15:27:22.606811       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.628970887Z I0622 15:27:22.624277       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:22.638900204Z W0622 15:27:22.633371       1 genericapiserver.go:311] Skipping API batch/v2alpha1 because it has no resources.
2018-06-22T15:27:22.730902677Z [restful] 2018/06/22 15:27:22 log.go:33: [restful/swagger] listing is available at https://172.31.9.58:6443/swaggerapi
2018-06-22T15:27:22.730927269Z [restful] 2018/06/22 15:27:22 log.go:33: [restful/swagger] https://172.31.9.58:6443/swaggerui/ is mapped to folder /swagger-ui/
2018-06-22T15:27:23.533908775Z [restful] 2018/06/22 15:27:23 log.go:33: [restful/swagger] listing is available at https://172.31.9.58:6443/swaggerapi
2018-06-22T15:27:23.533936614Z [restful] 2018/06/22 15:27:23 log.go:33: [restful/swagger] https://172.31.9.58:6443/swaggerui/ is mapped to folder /swagger-ui/
2018-06-22T15:27:23.562984138Z I0622 15:27:23.562897       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-22T15:27:25.829435621Z I0622 15:27:25.829013       1 serve.go:92] Serving securely on 0.0.0.0:6443
2018-06-22T15:27:25.829463346Z I0622 15:27:25.829185       1 controller.go:84] Starting OpenAPI AggregationController
2018-06-22T15:27:25.829470906Z I0622 15:27:25.829190       1 apiservice_controller.go:112] Starting APIServiceRegistrationController
2018-06-22T15:27:25.829476143Z I0622 15:27:25.829225       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
2018-06-22T15:27:25.829490694Z I0622 15:27:25.829271       1 crd_finalizer.go:242] Starting CRDFinalizer
2018-06-22T15:27:25.830922012Z I0622 15:27:25.830277       1 available_controller.go:192] Starting AvailableConditionController
2018-06-22T15:27:25.830959587Z I0622 15:27:25.830302       1 cache.go:32] Waiting for caches to sync for AvailableConditionController controller
2018-06-22T15:27:25.830969317Z I0622 15:27:25.830591       1 crdregistration_controller.go:112] Starting crd-autoregister controller
2018-06-22T15:27:25.830975051Z I0622 15:27:25.830609       1 controller_utils.go:1041] Waiting for caches to sync for crd-autoregister controller
2018-06-22T15:27:25.830980251Z I0622 15:27:25.830660       1 customresource_discovery_controller.go:152] Starting DiscoveryController
2018-06-22T15:27:25.830985645Z I0622 15:27:25.830689       1 naming_controller.go:277] Starting NamingConditionController
2018-06-22T15:27:25.929714430Z I0622 15:27:25.929421       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
2018-06-22T15:27:25.930733808Z I0622 15:27:25.930508       1 cache.go:39] Caches are synced for AvailableConditionController controller
2018-06-22T15:27:25.931453676Z I0622 15:27:25.931013       1 controller_utils.go:1048] Caches are synced for crd-autoregister controller
2018-06-22T15:27:25.931473467Z I0622 15:27:25.931105       1 autoregister_controller.go:136] Starting autoregister controller
2018-06-22T15:27:25.931480220Z I0622 15:27:25.931115       1 cache.go:32] Waiting for caches to sync for autoregister controller
2018-06-22T15:27:26.031463866Z I0622 15:27:26.031301       1 cache.go:39] Caches are synced for autoregister controller
2018-06-22T15:27:42.425015835Z I0622 15:27:42.421710       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
2018-06-28T16:42:27.293966342Z I0628 16:42:27.282113       1 server.go:114] Version: v1.8.11-docker-8d637ae
2018-06-28T16:42:27.293993431Z I0628 16:42:27.282263       1 plugins.go:101] No cloud provider specified.
2018-06-28T16:42:27.713341567Z I0628 16:42:27.688502       1 logs.go:41] warning: ignoring ServerName for user-provided CA for backwards compatibility is deprecated
