#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"TimeCreated","ProviderName","Message"
"7/29/2018 1:19:59 PM","docker","NetworkDB stats - netID:vw0lsec8y3b17uxi723xbg0bw leaving:false netPeers:6 entries:20 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:19:59 PM","docker","NetworkDB stats - netID:ysv3mkpq9lc2f4dq1ri0s31hx leaving:false netPeers:3 entries:6 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:20:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:20:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:21:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:21:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:22:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:22:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:23:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:23:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:24:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:24:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:24:59 PM","docker","NetworkDB stats - netID:vw0lsec8y3b17uxi723xbg0bw leaving:false netPeers:6 entries:20 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:24:59 PM","docker","NetworkDB stats - netID:ysv3mkpq9lc2f4dq1ri0s31hx leaving:false netPeers:3 entries:6 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:25:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:25:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:26:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:26:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:27:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:27:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:28:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:28:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:29:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:29:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:29:59 PM","docker","NetworkDB stats - netID:ysv3mkpq9lc2f4dq1ri0s31hx leaving:false netPeers:3 entries:6 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:29:59 PM","docker","NetworkDB stats - netID:vw0lsec8y3b17uxi723xbg0bw leaving:false netPeers:6 entries:20 Queue qLen:0 netMsg/s:0"
"7/29/2018 1:30:18 PM","docker","Error getting node z5fe290t226on4x8eudxg8thj: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
"7/29/2018 1:30:18 PM","docker","Handler for GET /v1.24/nodes/z5fe290t226on4x8eudxg8thj returned error: This node is not a swarm manager. Worker nodes can't be used to view or modify cluster state. Please run this command on a manager node or promote the current node to a manager."
