ucp-proxy
2018-06-22T15:27:17.208864270Z {"level":"info","msg":"Configuring TLS: ca=/etc/docker/ssl/ca.pem cert=/etc/docker/ssl/cert.pem key=/etc/docker/ssl/key.pem","time":"2018-06-22T15:27:17Z"}
2018-06-22T15:27:17.225103250Z {"level":"info","msg":"Initializing kubernetes reverse TLS proxy for port 6443 on managers on :6444","time":"2018-06-22T15:27:17Z"}
2018-06-22T15:27:17.225127426Z {"level":"info","msg":"Initializing etcd reverse TLS proxy for port 12379 on managers on :12378","time":"2018-06-22T15:27:17Z"}
2018-06-22T15:27:31.213022242Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.213048748Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.213054571Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.215503029Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:31.224523134Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:31Z"}
2018-06-22T15:27:33.356841471Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.457748746Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.457767308Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:33.458244489Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:33Z"}
2018-06-22T15:27:38.509223249Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:38Z"}
2018-06-22T15:27:42.195084515Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.195099688Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.195104643Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.195251585Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:42.197746935Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:42Z"}
2018-06-22T15:27:43.359700179Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:43Z"}
2018-06-22T15:27:43.635719256Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:43Z"}
2018-06-22T15:27:43.987528169Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:43Z"}
2018-06-22T15:27:43.987559126Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:43Z"}
2018-06-22T15:27:48.509395637Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:48Z"}
2018-06-22T15:27:53.195570705Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.195586582Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.196096314Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.196107445Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.199372107Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-22T15:27:53.358557106Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-22T15:27:53Z"}
2018-06-28T16:42:14.457064918Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.457095842Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.473787737Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.599772956Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.599832194Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.599839101Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.601792254Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:14.615609597Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:14Z"}
2018-06-28T16:42:17.466123665Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:17Z"}
2018-06-28T16:42:24.461413887Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:24Z"}
2018-06-28T16:42:24.461441407Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:24Z"}
2018-06-28T16:42:24.477750017Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:24Z"}
2018-06-28T16:42:25.575658442Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:25Z"}
2018-06-28T16:42:25.575677134Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:25Z"}
2018-06-28T16:42:25.576057737Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:25Z"}
2018-06-28T16:42:25.576072707Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:25Z"}
2018-06-28T16:42:25.577028959Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:25Z"}
2018-06-28T16:42:27.466274260Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:27Z"}
2018-06-28T16:42:34.465908566Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:34Z"}
2018-06-28T16:42:34.465945460Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:34Z"}
2018-06-28T16:42:34.481743738Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:34Z"}
2018-06-28T16:42:36.576635917Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.576656603Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.576662602Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
2018-06-28T16:42:36.576666979Z {"level":"error","msg":"Unable to route request, no healthy servers available","time":"2018-06-28T16:42:36Z"}
